Id;Name;Revision;Usage;PrimaryPartId;Id;Name;ComplectationId;Id;Name;Date;Engine;Body;Grade;ATM;GearShiftType;Cab;TransmissionModel;LoadingCapacity;RearTire;Destination;FuelInduction;BuildingCondition;DoorsCount;Transmission;CarModelId;Id;Model;Code;ProductionYear;Type;MarketId;Id;Name;BrandId;Id;Name
1;СТАНДАРТНЫЕ ИНСТРУМЕНТЫ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
2;ЧАСТИЧНАЯ СБОРКА ДВИГАТЕЛЯ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
3;КОРОТКИЙ ДВИГАТЕЛЬ В СБОРЕ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
4;КОМПЛЕКТ ПРОКЛАДОК ДЛЯ КАПИТАЛЬНОГО РЕМОНТА ДВИГАТЕЛЯ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
5;ГОЛОВКА БЛОКА ЦИЛИНДРОВ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
6;БЛОК ЦИЛИНДРОВ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
7;КРЫШКА ГАЗОРАСПРЕДЕЛИТЕЛЬНОГО МЕХАНИЗМА & ЗАДНЯЯ ТОРЦЕВАЯ ПЛАСТИНА;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
8;МОНТАЖ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
9;ВЕНТИЛЯЦИОННЫЙ ШЛАНГ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
10;КОЛЕНВАЛ & ПОРШНИ;NULL;NULL;1;1;Принадлежности/Двигатель/Топливная система;1;1;NULL;08.1984 - 08.1985;2L;T1;STD;MTM;4F;RCB;G;HLF;NULL;NULL;NULL;NULL;NULL;NULL;1;1;4-RUNNER TRUCK;671440;08.1983 - 03.1989;RN5#,6#,7#,VZN6#,LN5#,6#;1;1;Toyota Европа;1;1;Toyota
